baseline_question,variant_index,strategy,question,answer,ground_truth,consistency_rate
is there atelectasis in the right base area?,0,baseline,is there atelectasis in the right base area?,yes,no,1.0
is there atelectasis in the right base area?,1,Synonym replacement + phrasing variation,Is atelectasis present in the right lung base?,yes,no,1.0
is there atelectasis in the right base area?,2,Clause reordering + synonym replacement,"In the right basilar region, is there atelectasis?",yes,no,1.0
is there atelectasis in the right base area?,3,Voice change (active) + phrasing variation,Does the right lung base show atelectasis?,yes,no,1.0
is there atelectasis in the right base area?,4,Register shift + phrasing variation + synonym replacement,Is there any evidence of atelectasis at the right basal area?,yes,no,1.0
is there atelectasis in the right base area?,5,Lexical variation (adjectival form) + register shift,Is the right lung base atelectatic?,yes,no,1.0
is there atelectasis in the right lower lobe area?,0,baseline,is there atelectasis in the right lower lobe area?,yes,no,1.0
is there atelectasis in the right lower lobe area?,1,Phrasing variations,Does the right lower lobe area show atelectasis?,yes,no,1.0
is there atelectasis in the right lower lobe area?,2,Voice changes (active↔passive),Is the right lower lobe area involved by atelectasis?,yes,no,1.0
is there atelectasis in the right lower lobe area?,3,Clause reordering,"In the right lower lobe area, is there atelectasis?",yes,no,1.0
is there atelectasis in the right lower lobe area?,4,Register shifts (conversational),Any atelectasis in the right lower lobe area?,yes,no,1.0
is there atelectasis in the right lower lobe area?,5,Synonym replacement,Is there atelectasis in the right lower lobe region?,yes,no,1.0
is there atelectasis?,0,baseline,is there atelectasis?,yes,yes,1.0
is there atelectasis?,1,Phrasing variations,Is atelectasis present?,yes,yes,1.0
is there atelectasis?,2,Synonym replacement,Is there evidence of atelectasis?,yes,yes,1.0
is there atelectasis?,3,Voice changes,Can atelectasis be identified?,yes,yes,1.0
is there atelectasis?,4,Register shifts,Do we see atelectasis?,yes,yes,1.0
is there atelectasis?,5,Voice changes; Register shifts,Is the presence of atelectasis noted?,yes,yes,1.0
is there atelectasis?,0,baseline,is there atelectasis?,yes,yes,1.0
is there atelectasis?,1,Phrasing variations,Is atelectasis present?,yes,yes,1.0
is there atelectasis?,2,Phrasing variations,Is there any evidence of atelectasis?,yes,yes,1.0
is there atelectasis?,3,Voice changes,Has atelectasis been identified?,yes,yes,1.0
is there atelectasis?,4,Clause reordering,Atelectasis: is it present?,yes,yes,1.0
is there atelectasis?,5,Register shifts,Does the patient have atelectasis?,yes,yes,1.0
is there atelectasis?,0,baseline,is there atelectasis?,yes,yes,1.0
is there atelectasis?,1,Synonym replacement,Is atelectasis present?,yes,yes,1.0
is there atelectasis?,2,Phrasing variation,Is there any atelectasis?,yes,yes,1.0
is there atelectasis?,3,Register shift,Any atelectasis present?,yes,yes,1.0
is there atelectasis?,4,Phrasing variation,Presence of atelectasis?,yes,yes,1.0
is there atelectasis?,5,Clause reordering,Atelectasis—is it present?,yes,yes,1.0
is there atelectasis?,0,baseline,is there atelectasis?,yes,yes,1.0
is there atelectasis?,1,Phrasing variation; voice change,Is atelectasis present?,yes,yes,1.0
is there atelectasis?,2,Phrasing variation,Is there any atelectasis?,yes,yes,1.0
is there atelectasis?,3,Clause reordering,Atelectasis: is it present?,yes,yes,1.0
is there atelectasis?,4,Synonym replacement; phrasing variation,Is atelectasis seen?,yes,yes,1.0
is there atelectasis?,5,Register shift; phrasing variation,Any atelectasis present?,yes,yes,1.0
is there bronchiectasis?,0,baseline,is there bronchiectasis?,yes,yes,1.0
is there bronchiectasis?,1,Synonym replacement (there -> present),Is bronchiectasis present?,yes,yes,1.0
is there bronchiectasis?,2,Register shift (conversational ellipsis),Any bronchiectasis?,yes,yes,1.0
is there bronchiectasis?,3,Register shift (noun-phrase query),Presence of bronchiectasis?,yes,yes,1.0
is there bronchiectasis?,4,Phrasing variation (redundant but equivalent wording),Is there bronchiectasis present?,yes,yes,1.0
is there bronchiectasis?,5,Phrasing variation (explicit binary),Is bronchiectasis present or absent?,yes,yes,1.0
is there calcification?,0,baseline,is there calcification?,yes,yes,1.0
is there calcification?,1,Clause reordering,Is calcification present?,yes,yes,1.0
is there calcification?,2,Phrasing variation; synonym replacement,Does calcification exist?,yes,yes,1.0
is there calcification?,3,Voice change (passive),Is any calcification noted?,yes,yes,1.0
is there calcification?,4,Register shift (conversational shorthand),Any calcification present?,yes,yes,1.0
is there calcification?,5,Synonym replacement,Is calcification evident?,yes,yes,1.0
is there cardiomegaly in the lungs area?,0,baseline,is there cardiomegaly in the lungs area?,yes,yes,1.0
is there cardiomegaly in the lungs area?,1,Phrasing variation,Is cardiomegaly present in the lungs area?,yes,yes,1.0
is there cardiomegaly in the lungs area?,2,Synonym replacement,Is an enlarged heart present in the lungs area?,yes,yes,1.0
is there cardiomegaly in the lungs area?,3,Clause reordering,"In the lungs area, is cardiomegaly present?",yes,yes,1.0
is there cardiomegaly in the lungs area?,4,Voice change,Is cardiomegaly observed in the lungs area?,yes,yes,1.0
is there cardiomegaly in the lungs area?,5,Synonym replacement,Is there cardiomegaly in the pulmonary region?,yes,yes,1.0
is there cardiomegaly in the mediastinal area?,0,baseline,is there cardiomegaly in the mediastinal area?,yes,yes,0.8333333333333334
is there cardiomegaly in the mediastinal area?,1,phrasing variation,Is cardiomegaly present in the mediastinal area?,yes,yes,0.8333333333333334
is there cardiomegaly in the mediastinal area?,2,synonym replacement,Does the mediastinal area demonstrate cardiomegaly?,yes,yes,0.8333333333333334
is there cardiomegaly in the mediastinal area?,3,synonym replacement,Is there cardiac enlargement in the mediastinal region?,yes,yes,0.8333333333333334
is there cardiomegaly in the mediastinal area?,4,clause reordering,"In the mediastinum, is there cardiomegaly?",no,yes,0.8333333333333334
is there cardiomegaly in the mediastinal area?,5,voice change,Can an enlarged heart be seen in the mediastinal area?,yes,yes,0.8333333333333334
is there cardiomegaly?,0,baseline,is there cardiomegaly?,yes,yes,0.5
is there cardiomegaly?,1,phrasing variation,Is cardiomegaly present?,yes,yes,0.5
is there cardiomegaly?,2,synonym replacement,Is the heart enlarged?,no,yes,0.5
is there cardiomegaly?,3,synonym replacement + phrasing variation,Is there an enlarged heart?,no,yes,0.5
is there cardiomegaly?,4,register shift (conversational),Any cardiomegaly?,no,yes,0.5
is there cardiomegaly?,5,nominalization/phrasing variation,Presence of cardiomegaly?,yes,yes,0.5
is there consolidation?,0,baseline,is there consolidation?,yes,no,0.9166666666666666
is there consolidation?,1,synonym replacement; phrasing variation,Is consolidation present?,yes,no,0.9166666666666666
is there consolidation?,2,synonym replacement; phrasing variation,Does consolidation exist?,yes,no,0.9166666666666666
is there consolidation?,3,register shift (conversational); phrasing variation,Any consolidation?,no,no,0.9166666666666666
is there consolidation?,4,register shift (conversational),Do we have consolidation?,yes,no,0.9166666666666666
is there consolidation?,5,phrasing variation,Is there any consolidation?,yes,no,0.9166666666666666
is there consolidation?,0,baseline,is there consolidation?,yes,no,0.9166666666666666
is there consolidation?,1,Synonym replacement,Is consolidation present?,yes,no,0.9166666666666666
is there consolidation?,2,Phrasing variations,Is there any consolidation?,yes,no,0.9166666666666666
is there consolidation?,3,Phrasing variations,Does consolidation exist?,yes,no,0.9166666666666666
is there consolidation?,4,Register shifts,Presence of consolidation?,yes,no,0.9166666666666666
is there consolidation?,5,Clause reordering,Consolidation: is it present?,yes,no,0.9166666666666666
is there consolidation?,0,baseline,is there consolidation?,yes,no,0.9166666666666666
is there consolidation?,1,phrasing variation,Is consolidation present?,yes,no,0.9166666666666666
is there consolidation?,2,phrasing variation (quantifier),Is there any consolidation?,yes,no,0.9166666666666666
is there consolidation?,3,voice change (passive phrasing),Is consolidation seen?,yes,no,0.9166666666666666
is there consolidation?,4,register shift (elliptical question),Any consolidation present?,yes,no,0.9166666666666666
is there consolidation?,5,phrasing variation (elliptical nominalization),Presence of consolidation?,yes,no,0.9166666666666666
is there consolidation?,0,baseline,is there consolidation?,yes,no,0.9166666666666666
is there consolidation?,1,Phrasing variation,Is consolidation present?,yes,no,0.9166666666666666
is there consolidation?,2,Phrasing variation (existential form),Does consolidation exist?,yes,no,0.9166666666666666
is there consolidation?,3,Phrasing variation (determiner addition),Is there any consolidation?,yes,no,0.9166666666666666
is there consolidation?,4,Phrasing variation (noun-phrase question),Presence of consolidation?,yes,no,0.9166666666666666
is there consolidation?,5,Register shift (conversational fragment),Any consolidation?,no,no,0.9166666666666666
is there edema?,0,baseline,is there edema?,no,no,1.0
is there edema?,1,Phrasing variation,Is edema present?,no,no,1.0
is there edema?,2,Phrasing variation,Is there any edema?,no,no,1.0
is there edema?,3,Register shift (elliptical),Edema present?,no,no,1.0
is there edema?,4,Synonym replacement (US↔UK spelling),Is there oedema?,no,no,1.0
is there edema?,5,Phrasing variation (existential construction),Does edema exist?,no,no,1.0
is there edema?,0,baseline,is there edema?,no,no,1.0
is there edema?,1,phrasing variation,Is edema present?,no,no,1.0
is there edema?,2,phrasing variation,Is there any edema?,no,no,1.0
is there edema?,3,synonym replacement (regional spelling),Is oedema present?,no,no,1.0
is there edema?,4,phrasing variation,Does edema exist?,no,no,1.0
is there edema?,5,register shift (telegraphic),Edema present?,no,no,1.0
is there effusion?,0,baseline,is there effusion?,yes,no,1.0
is there effusion?,1,phrasing variation,Is an effusion present?,yes,no,1.0
is there effusion?,2,phrasing variation (article insertion),Is there an effusion?,yes,no,1.0
is there effusion?,3,synonym replacement,Does an effusion exist?,yes,no,1.0
is there effusion?,4,clause reordering,Is effusion present?,yes,no,1.0
is there effusion?,5,register shift (telegraphic noun-phrase),Presence of effusion?,yes,no,1.0
is there elongation of the descending aorta?,0,baseline,is there elongation of the descending aorta?,yes,yes,0.8333333333333334
is there elongation of the descending aorta?,1,Phrasing variation,Is the descending aorta elongated?,yes,yes,0.8333333333333334
is there elongation of the descending aorta?,2,Clause reordering,"In the descending aorta, is there elongation?",yes,yes,0.8333333333333334
is there elongation of the descending aorta?,3,Voice change,Is elongation of the descending aorta observed?,yes,yes,0.8333333333333334
is there elongation of the descending aorta?,4,Synonym replacement,Is there lengthening of the descending aorta?,yes,yes,0.8333333333333334
is there elongation of the descending aorta?,5,Register shift,Any elongation of the descending aorta?,no,yes,0.8333333333333334
is there evidence of atelectasis in this image?,0,baseline,is there evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,1,Phrasing variation,Does this image show evidence of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,2,Clause reordering,"In this image, is there evidence of atelectasis?",yes,yes,1.0
is there evidence of atelectasis in this image?,3,Voice/syntactic change,Is evidence of atelectasis present in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,4,Synonym replacement (evidence→signs),Are there signs of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,5,Synonym replacement (evidence→indications) + phrasing variation,Does this image contain indications of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,0,baseline,is there evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,1,phrasing variation,Does this image show evidence of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,2,voice change (active→passive) and phrasing variation,Is atelectasis present in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,3,clause reordering,"In this image, is there evidence of atelectasis?",yes,yes,1.0
is there evidence of atelectasis in this image?,4,synonym replacement,Are there signs of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,5,voice change with modal,Can atelectasis be seen in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,0,baseline,is there evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,1,phrasing variation,Does this image show evidence of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,2,synonym replacement,Is atelectasis evident in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,3,clause reordering,"In this image, is there evidence of atelectasis?",yes,yes,1.0
is there evidence of atelectasis in this image?,4,voice change,Is evidence of atelectasis shown by this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,5,register shift,Do you see any evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,0,baseline,is there evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,1,Phrasing variation + synonym replacement,Does this image show evidence of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,2,Phrasing variation,Is atelectasis evident in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,3,Clause reordering,"In this image, is there any evidence of atelectasis?",yes,yes,1.0
is there evidence of atelectasis in this image?,4,Voice change + phrasing variation,Can atelectasis be seen in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,5,Register shift (conversational) + phrasing variation,Do you see evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,0,baseline,is there evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,1,Synonym replacement; Phrasing variation,Does this image show signs of atelectasis?,yes,yes,1.0
is there evidence of atelectasis in this image?,2,Phrasing variation,Is any evidence of atelectasis present in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,3,Voice change (active→passive); Phrasing variation,Can evidence of atelectasis be seen in this image?,yes,yes,1.0
is there evidence of atelectasis in this image?,4,Clause reordering,"In this image, is there evidence of atelectasis?",yes,yes,1.0
is there evidence of atelectasis in this image?,5,Register shift (conversational); Phrasing variation,Would you say there is evidence of atelectasis in this image?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,0,baseline,is there evidence of cardiomegaly in this image?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,1,Phrasing variation,Does this image show cardiomegaly?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,2,Clause reordering,Is cardiomegaly present in this image?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,3,Voice change (passive construction),Can cardiomegaly be seen in this image?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,4,Register shift (conversational),Are we seeing cardiomegaly in this image?,yes,yes,1.0
is there evidence of cardiomegaly in this image?,5,Synonym replacement (evidence→sign),Is there any sign of cardiomegaly in this image?,yes,yes,1.0
is there evidence of consolidation in this image?,0,baseline,is there evidence of consolidation in this image?,yes,no,1.0
is there evidence of consolidation in this image?,1,Phrasing variation,Does this image show any consolidation?,yes,no,1.0
is there evidence of consolidation in this image?,2,Phrasing variation,Is consolidation present in this image?,yes,no,1.0
is there evidence of consolidation in this image?,3,Voice change (passive),Can consolidation be seen in this image?,yes,no,1.0
is there evidence of consolidation in this image?,4,Synonym replacement,Does the image demonstrate consolidation?,yes,no,1.0
is there evidence of consolidation in this image?,5,Clause reordering,"In this image, is there evidence of consolidation?",yes,no,1.0
is there evidence of consolidation in this image?,0,baseline,is there evidence of consolidation in this image?,yes,no,1.0
is there evidence of consolidation in this image?,1,Phrasing variation,Does this image show consolidation?,yes,no,1.0
is there evidence of consolidation in this image?,2,Synonym replacement (evidence -> present),Is consolidation present in this image?,yes,no,1.0
is there evidence of consolidation in this image?,3,Synonym replacement (evidence -> signs),Are there any signs of consolidation in this image?,yes,no,1.0
is there evidence of consolidation in this image?,4,Clause reordering (fronted prepositional phrase),"In this image, is there evidence of consolidation?",yes,no,1.0
is there evidence of consolidation in this image?,5,Voice change (passive construction),Can consolidation be seen in this image?,yes,no,1.0
is there evidence of consolidation in this image?,0,baseline,is there evidence of consolidation in this image?,yes,no,1.0
is there evidence of consolidation in this image?,1,Phrasing variation,Does this image show evidence of consolidation?,yes,no,1.0
is there evidence of consolidation in this image?,2,Phrasing variation,Is consolidation present in this image?,yes,no,1.0
is there evidence of consolidation in this image?,3,Register shift and phrasing variation,Can consolidation be seen in this image?,yes,no,1.0
is there evidence of consolidation in this image?,4,Clause reordering,"In this image, is there evidence of consolidation?",yes,no,1.0
is there evidence of consolidation in this image?,5,Voice change with synonym replacement,Is evidence of consolidation demonstrated in this image?,yes,no,1.0
is there evidence of demineralization in this image?,0,baseline,is there evidence of demineralization in this image?,yes,yes,0.8333333333333334
is there evidence of demineralization in this image?,1,phrasing variation,Does this image show evidence of demineralization?,yes,yes,0.8333333333333334
is there evidence of demineralization in this image?,2,voice change,Is demineralization present in this image?,yes,yes,0.8333333333333334
is there evidence of demineralization in this image?,3,synonym replacement,Are there signs of demineralization in this image?,yes,yes,0.8333333333333334
is there evidence of demineralization in this image?,4,clause reordering,"In this image, is any demineralization evident?",yes,yes,0.8333333333333334
is there evidence of demineralization in this image?,5,synonym replacement,Does this image demonstrate mineral loss?,no,yes,0.8333333333333334
is there evidence of edema in this image?,0,baseline,is there evidence of edema in this image?,yes,no,0.6666666666666666
is there evidence of edema in this image?,1,Phrasing variation,Does this image show evidence of edema?,yes,no,0.6666666666666666
is there evidence of edema in this image?,2,Synonym replacement (evidence → evident) + phrasing variation,Is edema evident in this image?,no,no,0.6666666666666666
is there evidence of edema in this image?,3,Clause reordering + synonym replacement (evidence → sign),"In this image, is there any sign of edema?",no,no,0.6666666666666666
is there evidence of edema in this image?,4,Voice change (passive construction) + phrasing variation,Can edema be seen in this image?,yes,no,0.6666666666666666
is there evidence of edema in this image?,5,Synonym replacement (show evidence → demonstrate) + phrasing variation,Does this image demonstrate edema?,yes,no,0.6666666666666666
is there evidence of effusion in this image?,0,baseline,is there evidence of effusion in this image?,yes,no,1.0
is there evidence of effusion in this image?,1,phrasing variation,Does this image show evidence of an effusion?,yes,no,1.0
is there evidence of effusion in this image?,2,synonym replacement,Is an effusion present in this image?,yes,no,1.0
is there evidence of effusion in this image?,3,clause reordering,"In this image, is there evidence of an effusion?",yes,no,1.0
is there evidence of effusion in this image?,4,voice change (active→passive),Can an effusion be seen in this image?,yes,no,1.0
is there evidence of effusion in this image?,5,synonym replacement,Is there any indication of an effusion in this image?,yes,no,1.0
is there evidence of fluid overload in this image?,0,baseline,is there evidence of fluid overload in this image?,yes,no,1.0
is there evidence of fluid overload in this image?,1,phrasing variation,Does this image show evidence of fluid overload?,yes,no,1.0
is there evidence of fluid overload in this image?,2,voice change (existential phrasing),Is any evidence of fluid overload present in this image?,yes,no,1.0
is there evidence of fluid overload in this image?,3,clause reordering + synonym replacement,"In this image, are there signs of fluid overload?",yes,no,1.0
is there evidence of fluid overload in this image?,4,synonym replacement (evidence→indications; fluid overload→volume overload),Are there indications of volume overload on this image?,yes,no,1.0
is there evidence of fluid overload in this image?,5,register shift + synonym replacement (fluid overload→hypervolemia),Is hypervolemia evident in this image?,yes,no,1.0
is there evidence of fracture in this image?,0,baseline,is there evidence of fracture in this image?,no,yes,1.0
is there evidence of fracture in this image?,1,phrasing variation,Does this image show a fracture?,no,yes,1.0
is there evidence of fracture in this image?,2,synonym replacement,Is a fracture evident in this image?,no,yes,1.0
is there evidence of fracture in this image?,3,clause reordering,"In this image, is there evidence of a fracture?",no,yes,1.0
is there evidence of fracture in this image?,4,voice change,Is a fracture demonstrated by this image?,no,yes,1.0
is there evidence of fracture in this image?,5,register shift,Do you see any evidence of a fracture in this image?,no,yes,1.0
is there evidence of hyperinflation in this image?,0,baseline,is there evidence of hyperinflation in this image?,yes,yes,0.8333333333333334
is there evidence of hyperinflation in this image?,1,Clause reordering,"In this image, is there evidence of hyperinflation?",yes,yes,0.8333333333333334
is there evidence of hyperinflation in this image?,2,Phrasing variation,Does this image show evidence of hyperinflation?,yes,yes,0.8333333333333334
is there evidence of hyperinflation in this image?,3,Synonym replacement,Are there signs of hyperinflation on this image?,no,yes,0.8333333333333334
is there evidence of hyperinflation in this image?,4,Synonym replacement,Is hyperinflation evident in this image?,yes,yes,0.8333333333333334
is there evidence of hyperinflation in this image?,5,Voice change (passive),Can hyperinflation be seen in this image?,yes,yes,0.8333333333333334
is there evidence of metastasis in this image?,0,baseline,is there evidence of metastasis in this image?,no,yes,1.0
is there evidence of metastasis in this image?,1,Phrasing variation,Does this image show evidence of metastasis?,no,yes,1.0
is there evidence of metastasis in this image?,2,Synonym replacement,Is metastasis evident in this image?,no,yes,1.0
is there evidence of metastasis in this image?,3,Synonym replacement + register shift (more formal),Does the image provide evidence of metastatic disease?,no,yes,1.0
is there evidence of metastasis in this image?,4,Clause reordering,"In this image, is there evidence of metastasis?",no,yes,1.0
is there evidence of metastasis in this image?,5,Voice change/nominalization,Is evidence of metastasis present in this image?,no,yes,1.0
is there evidence of opacity in this image?,0,baseline,is there evidence of opacity in this image?,yes,yes,1.0
is there evidence of opacity in this image?,1,Phrasing variation; synonym replacement,Does this image show any opacity?,yes,yes,1.0
is there evidence of opacity in this image?,2,Register shift to direct presence question,Is opacity present in this image?,yes,yes,1.0
is there evidence of opacity in this image?,3,Clause reordering,"In this image, is there evidence of opacity?",yes,yes,1.0
is there evidence of opacity in this image?,4,Voice change; phrasing variation,Can opacity be seen in this image?,yes,yes,1.0
is there evidence of opacity in this image?,5,Synonym replacement,Is opacity evident in this image?,yes,yes,1.0
is there evidence of opacity in this image?,0,baseline,is there evidence of opacity in this image?,yes,yes,1.0
is there evidence of opacity in this image?,1,Phrasing variation + synonym replacement,Does this image show any opacity?,yes,yes,1.0
is there evidence of opacity in this image?,2,Synonym replacement,Is opacity present in this image?,yes,yes,1.0
is there evidence of opacity in this image?,3,Voice change (passive) + phrasing variation,Can any opacity be seen in this image?,yes,yes,1.0
is there evidence of opacity in this image?,4,Clause reordering,"In this image, is there evidence of opacity?",yes,yes,1.0
is there evidence of opacity in this image?,5,Synonym replacement + register shift,Does the image exhibit signs of opacity?,yes,yes,1.0
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Synonym replacement + phrasing variation,Does this image show any signs of pleural effusion?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Voice change (active→passive) + phrasing variation,Can pleural effusion be seen in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,Phrasing variation,Is pleural effusion present in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Clause reordering + synonym replacement,"From this image, is there any indication of pleural effusion?",no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shift (conversational) + synonym replacement,Would you say this image demonstrates pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Phrasing variation + synonym replacement,Does this image show evidence of pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Synonym replacement + voice change,Is pleural effusion evident in this image?,no,yes,0.6190476190476191
